Ano;Público;Meta de público;Concertos planejados;Concertos realizados;Público médio por concerto;Situação
2005;26980;;;29;930,344828;Fechado
2006;120000;;;130;923,076923;Fechado
2007;143000;;;;;Fechado
2008;149700;;96;99;1512,121212;Fechado
2009;144800;;87;93;1556,989247;Fechado
2010;117162;;93;93;1259,806452;Fechado
2011;111015;;84;85;1306,058824;Fechado
2012;132487;;84;104;1273,913462;Fechado
2013;129364;;84;101;1280,831683;Fechado
2014;127787;;99;99;1290,777778;Fechado
2015;136201;104933;108;108;1261,120370;Fechado
2016;122561;88570;96;96;1276,677083;Fechado
2017;119214;;;;;Fechado
2018;113704;95602;96;96;1184,416667;Fechado
2019;106014;90192;90;91;1164,989011;Fechado
2020;34085;47083;44;64;532,578125;Fechado
2021;56762;117948;117;105;540,590476;Fechado
2022;86397;71871;91;91;949,417582;Fechado
2023;109106;95760;95;95;1148,484211;Fechado
2024;111802;89901;90;91;1228,593407;Fechado
2025;94467;76768;74;74;1276,581081;Fechado
2026;22740;18666;17;18;1263,333333;Parcial
