Ano;Publico_observado;Previsao;Limite_inferior_80;Limite_superior_80
2005;26980;;;
2006;120000;;;
2007;143000;;;
2008;149700;;;
2009;144800;;;
2010;117162;;;
2011;111015;;;
2012;132487;;;
2013;129364;;;
2014;127787;;;
2015;309640;;;
2016;122561;;;
2017;119214;;;
2018;242154;;;
2019;291750;;;
2020;85138;;;
2021;145831;;;
2022;199650;;;
2023;248020;;;
2024;308976;;;
2025;298279;;;
2026;59743;227869.7686011113;142317.3186549245;364851.1083055549
2027;;207570.0970716681;126127.3977967373;341601.792718951
2028;;200966.0474819314;121724.8086702168;331792.2836085898
